experiment_id,crossover_operator,selection_factor,branching_factor,mutation_factor,mutation_potency,maximum_epochs,minimum_profit,maximum_profit,average_profit,num_states_generated,running_time
102,ac,35,12,1.0,0.8,300,-1.5243592463613843e-102,-4.5197487119238495e-104,-3.0475719023738743e-103,3712800,36.890484309196474
103,ac,35,12,1.0,0.8,400,-2.537557383964223e-139,-6.69784442827317e-141,-5.502834457144648e-140,4426800,46.84721291065216
104,ac,35,12,1.0,0.8,500,-6.967868980517803e-176,-7.991375884318757e-178,-1.1786195206391118e-176,5140800,56.45725808143616
105,ac,35,12,1.0,0.8,600,-1.0037147063804863e-212,-1.4605884340169327e-214,-1.876134896770702e-213,5854800,66.21931979656219
106,ac,35,12,1.0,0.8,700,-1.3989762953661634e-249,-2.7451096293169595e-251,-2.912608400468543e-250,6568800,75.91317324638366
107,ac,35,12,1.0,0.8,800,-3.3633400545284945e-286,-4.481327429442476e-288,-5.660313554097994e-287,7282800,86.12675020694732
108,ac,35,12,1.0,0.8,900,-1.5e-323,0.0,-0.0,7996800,95.96762578487396
109,ac,35,12,1.0,0.8,1000,0.0,0.0,0.0,8710800,105.76546857357025
110,ac,85,2,1.0,0.8,100,-2.1851633658374033e-26,-1.3185216226599248e-27,-7.69127970424295e-27,2427600,19.56687285900116
111,ac,85,2,1.0,0.8,200,-2.0721718994154625e-59,-1.7851908842436345e-60,-9.138289176943756e-60,3141600,31.846622371673583
112,ac,85,2,1.0,0.8,300,-2.41882439178834e-92,-2.3021629680101997e-93,-1.2035307912614935e-92,3855600,44.07541697025299
113,ac,85,2,1.0,0.8,400,-4.779947754943536e-125,-3.3713599793978946e-126,-1.8544698017018962e-125,4569600,56.14919764995575
114,ac,85,2,1.0,0.8,500,-5.269332717390294e-158,-4.049986814347829e-159,-2.4888892464608162e-158,5283600,68.41276924610138
115,ac,85,2,1.0,0.8,600,-9.333114612041912e-191,-6.0976012979665745e-192,-3.809747653756027e-191,5997600,80.21419997215271
116,ac,85,2,1.0,0.8,700,-1.9942933591721202e-223,-1.4015547051291216e-224,-6.540881726115837e-224,6711600,92.36052269935608
117,ac,85,2,1.0,0.8,800,-1.7847694950059474e-256,-1.7799961948571398e-257,-7.303920328021368e-257,7425600,104.34055833816528
118,ac,85,2,1.0,0.8,900,-2.877350593594214e-289,-2.2952949862011818e-290,-1.1071150676490594e-289,8139600,116.36575355529786
119,ac,85,2,1.0,0.8,1000,-1.43e-322,0.0,-4e-323,8853600,127.99483456611634
